               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.059269,             0.06722,                   0,             0.57542,              0.6129,             0.51157,             0.20556,            0.052077,            0.014767,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.059257,            0.065712,                   0,             0.57085,              0.6129,             0.54129,                0.22,            0.052578,            0.014435,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.057064,            0.060773,                   0,             0.72821,             0.74194,             0.74403,             0.24272,            0.049305,             0.01424,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.056963,            0.063879,                   0,             0.64597,             0.64748,             0.69175,             0.21126,            0.049974,            0.014799,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.053689,            0.059457,                   0,              0.6467,             0.67742,              0.7097,             0.22504,            0.049396,            0.014919,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.059408,            0.071477,                   0,             0.62532,             0.69355,             0.64428,             0.20095,            0.048898,            0.014914,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.056954,            0.070192,                   0,             0.59974,             0.54839,             0.57118,             0.21331,            0.049471,            0.015911,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.056485,            0.069889,                   0,             0.50221,             0.54839,             0.52683,             0.21031,            0.050296,            0.016233,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.056052,            0.059019,                   0,             0.63896,             0.56452,             0.63641,             0.27407,            0.049868,            0.014332,                   0,            0.007228,            0.007228,            0.007228
                  58,             0.05937,            0.065859,                   0,             0.74107,             0.73865,             0.76327,             0.28077,            0.047774,             0.01375,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.056592,            0.066993,                   0,             0.75962,             0.67742,             0.71123,             0.28725,            0.046538,            0.014793,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.054192,            0.060201,                   0,             0.68789,             0.67742,             0.68746,             0.27708,            0.048797,             0.01442,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.054711,            0.054716,                   0,             0.69478,             0.62903,             0.65784,             0.26926,            0.048573,            0.014212,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.054799,            0.063814,                   0,              0.7054,             0.62903,             0.63833,             0.26368,            0.049378,            0.014452,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.052673,            0.056055,                   0,             0.75778,             0.70968,             0.71507,             0.26789,            0.048764,            0.014294,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.056603,            0.063432,                   0,             0.67092,             0.62903,             0.64982,               0.242,            0.049412,            0.015871,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.055672,            0.065247,                   0,             0.67017,             0.70968,             0.70091,             0.26708,            0.048025,            0.014572,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.056039,            0.065409,                   0,             0.60837,             0.67742,              0.6124,             0.23897,            0.050638,            0.014147,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.056164,            0.059156,                   0,             0.62855,             0.67742,             0.62492,             0.25623,            0.051137,            0.014624,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.056158,            0.065381,                   0,             0.55742,             0.58917,             0.52888,             0.20712,            0.051956,             0.01506,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.053147,            0.057946,                   0,             0.63493,             0.62903,             0.60253,             0.24659,            0.052292,            0.015272,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.055488,            0.058576,                   0,             0.50414,             0.54839,              0.4937,             0.21062,             0.05382,            0.015247,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.054426,            0.057378,                   0,              0.7093,             0.51167,             0.61279,             0.24936,            0.051169,            0.014996,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.052411,            0.056161,                   0,             0.61329,             0.54839,             0.57977,             0.24412,            0.051766,            0.014927,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.053982,            0.060658,                   0,             0.55656,             0.62903,             0.56723,             0.22496,            0.050407,            0.015251,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.052626,            0.059254,                   0,             0.62396,             0.64234,             0.65211,             0.23788,            0.049621,            0.014339,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.053294,            0.051131,                   0,              0.6675,             0.53226,             0.57084,             0.20975,            0.051522,            0.016005,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.055281,            0.056148,                   0,             0.67769,             0.54839,             0.59333,             0.23751,            0.050995,            0.016037,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.057262,            0.065917,                   0,              0.6153,             0.72581,             0.70366,              0.2971,            0.048291,            0.014692,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.050407,            0.060993,                   0,             0.67553,             0.70523,             0.67121,             0.25783,            0.049178,            0.014736,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.051941,            0.057905,                   0,             0.70779,              0.6642,              0.6819,             0.27595,            0.049847,            0.014439,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.051578,            0.057323,                   0,             0.77325,             0.58065,             0.69144,              0.2931,            0.050563,            0.014618,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.053872,            0.061033,                   0,             0.66663,             0.58065,             0.66742,             0.28653,            0.049034,            0.015497,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.052517,            0.061261,                   0,             0.67813,             0.59677,             0.67164,             0.27603,            0.049965,            0.014238,                   0,           0.0059905,           0.0059905,           0.0059905
